year,title,doi,type,authors,journal,number,total.citations,cid,pubid,ImpactFactor,CiteScore,jcrRankCat,jcrRank,csRankCat,csRank,url,rg,arxiv,psyarxiv,data,code,journalShort,first,country
2020,Effects of Adding Natural Sounds to Urban Noises on The Perceived Loudness of Noise And Soundscape Quality,10.1016/j.scitotenv.2019.134571,Article,"JY Hong, ZT Ong, B Lam, K Ooi, WS Gan, J Kang, J Feng, ST Tan",science of the total environment,"711, 134571",88,11389819012201414312,ZeXyd9-uunAC,9.8,16.8,Environ Sci,26/274,Environ Eng,8/184,https://europepmc.org/article/med/32000311,NA,NA,NA,NA,NA,Sci Total Environ,0,
2020,"Corrigendum To"" Quality Assessment of Acoustic Environment Reproduction Methods for Cinematic Virtual Reality in Soundscape Applications""[Build. Environ. 149 (2019) 1-14]",10.1016/j.buildenv.2020.106830,Correction,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, J Feng, ST Tan",building and environment,"176, 106830",0,NA,mB3voiENLucC,7.4,11.3,Civ Eng,6/139,Civ Struct Eng,17/350,NA,NA,NA,NA,NA,NA,Build Environ,0,
2020,Multichannel Active Noise Control with Spatial Derivative Constraints to Enlarge the Quiet Zone,10.1109/icassp40776.2020.9053978,Proceedings Paper,"D Shi, B Lam, S Wen, WS Gan",icassp,"2020-2020 IEEE International Conference on Acoustics, Speech and …",19,3913151712569256018,HDshCWvjkbEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ICASSP 2020 - 2020 IEEE Int Conf. Acoust Speech Signal Process,0,"Barcelona, Spain"
2020,Soundscape Assessment: Towards a Validated Translation of Perceptual Attributes in Different Languages,NA,Proceedings Paper,"F Aletta, T Oberman, Ö Axelsson, H Xie, Y Zhang, SK Lau, SK Tang, ...",inter-noise and noise-con congress and conference proceedings,"261 (3), 3137-3146",81,15834423604469688909,blknAaTinKkC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2020/00000261/00000003/art00018,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20",0,"Seoul, South Korea"
2020,Active Noise Control Based on The Momentum Multichannel Normalized Filtered-X Least Mean Square Algorithm,NA,Proceedings Paper,"D Shi, WS Gan, B Lam, S Wen, X Shen",inter-noise and noise-con congress and conference proceedings,"261 (6), 709-719",22,5919638732480619576,bEWYMUwI8FkC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2020/00000261/00000006/art00085,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20",0,"Seoul, South Korea"
2020,A Deep Learning Approach for Modelling Perceptual Attributes of Soundscapes,NA,Proceedings Paper,"K Ooi, J Hong, B Lam, ZT Ong, WS Gan",inter-noise and noise-con congress and conference proceedings,"261 (3), 3580-3589",3,17993325968853625449,j3f4tGmQtD8C,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/contentone/ince/incecp/2020/00000261/00000003/art00064,https://www.researchgate.net/publication/344609366_A_deep_learning_approach_for_modelling_perceptual_attributes_of_soundscapes,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20",0,"Seoul, South Korea"
2020,"Virtual, Augmented And Mixed Reality Tools in Soundscape Evaluation And Design",NA,Proceedings Paper,"B Lam, YX Tan, J Heng, JY Hong, ZT Ong, WS Gan","inter-noise and noise-con congress and conference proceedings, internoise",e20 …,1,7827126559819319785,_Qo2XoVZTnwC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/contentone/ince/incecp/2020/00000261/00000003/art00027,https://www.researchgate.net/publication/343150785_Virtual_augmented_and_mixed_reality_tools_in_soundscape_evaluation_and_design,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20",1,"Seoul, South Korea"
2020,Multichannel Active Noise Control Based on Momentum Multichannel Normalized Filtered-X Least Mean Square Algorithm,NA,Proceedings Paper,"D Shi, WS Gan, B Lam, S Wen, X Shen","inter-noise and noise-con congress and conference proceedings, internoise",e20 …,0,NA,iH-uZ7U-co4C,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/346035786_Multichannel_Active_Noise_Control_based_on_Momentum_Multichannel_Normalized_Filtered-x_Least_Mean_Square_Algorithm,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20",0,"Seoul, South Korea"
2019,Exploiting the Underdetermined System in Multichannel Active Noise Control for Open Windows,10.3390/app9030390,Article,"J He, B Lam, D Shi, WS Gan",applied sciences,"9 (3), 390",19,5235521817836651770,qxL8FJ1GzNcC,2.7,2.5,Multidiscip Eng,42/90,Gen Eng,73/302,NA,NA,NA,NA,NA,NA,Appl Sci-Basel,0,
2019,Two-Gradient Direction Fxlms: An Adaptive Active Noise Control Algorithm with Output Constraint,10.1016/j.ymssp.2018.06.062,Article,"DY Shi, WS Gan, B Lam, C Shi",mechanical systems and signal processing,"116, 651-667",61,15946597175520248462,Wp0gIr-vW9MC,8.4,15.2,Mech Eng,5/135,Aerosp Eng,2/137,https://hdl.handle.net/10356/107561,https://www.researchgate.net/publication/326588022_Two-gradient_direction_FXLMS_An_adaptive_active_noise_control_algorithm_with_output_constraint?_sg%5B0%5D=xlPp3kOSRODpRvQ3ShyaGF_o4q8ARXhReNs_E2jBZ5Wxos4iWdH8FCqWZO20yTF4zBzmZG_jxZjklhhgXvrTYUCXUYEOShi6ZMFdFWB_.z6RL0AWuVe-8MPgozgW3UNis00_VFfgZ0Dud5nY_J6aoXkfnm2vxEG-OmjxPmPQ6H9GTRXjvY0EBqnXN62i84g,NA,NA,NA,NA,Mech Syst Signal Pr,0,
2019,Optimal Leak Factor Selection for The Output-Constrained Leaky Filtered-Input Least Mean Square Algorithm,10.1109/LSP.2019.2903908,Article,"D Shi, B Lam, WS Gan, S Wen",ieee signal processing letters,"26 (5), 670-674",27,4590905128154680816,M3ejUd6NZC8C,3.9,6.2,Electr Electron Eng,100/275,Appl Math,54/609,NA,NA,NA,NA,NA,NA,IEEE Signal Proc Lett,0,
2019,Quality Assessment of Acoustic Environment Reproduction Methods for Cinematic Virtual Reality in Soundscape Applications,10.1016/j.buildenv.2018.12.004,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, J Feng, ST Tan",building and environment,"149, 1-14",119,2623234777903096448,YOwf2qJgpHMC,7.4,11.3,Civ Eng,6/139,Civ Struct Eng,17/350,https://hdl.handle.net/10356/88359,https://www.researchgate.net/publication/329460720_Quality_assessment_of_acoustic_environment_reproduction_methods_for_cinematic_virtual_reality_in_soundscape_applications,NA,NA,NA,NA,Build Environ,0,
2019,Practical Implementation of Multichannel Filtered-X Least Mean Square Algorithm Based on The Multiple-Parallel-Branch with Folding Architecture for Large-Scale Active Noise Control,10.1109/TVLSI.2019.2956524,Article,"D Shi, WS Gan, J He, B Lam",ieee transactions on very large scale integration (vlsi) systems,"28 (4), 940-953",62,4572325104005594906,hC7cP41nSMkC,2.8,6.9,Electr Electron Eng,137/275,Electr Electron Eng,145/738,NA,https://www.researchgate.net/publication/338056961_Practical_Implementation_of_Multichannel_Filtered-x_Least_Mean_Square_Algorithm_Based_on_the_Multiple-Parallel-Branch_With_Folding_Architecture_for_Large-Scale_Active_Noise_Control,NA,NA,NA,NA,IEEE T VLSI Syst,0,
2019,Analysis of Multichannel Virtual Sensing Active Noise Control to Overcome Spatial Correlation And Causality Constraints,10.1109/ICASSP.2019.8682344,Proceedings Paper,"D Shi, B Lam, W Gan",icassp,"2019-2019 IEEE International Conference on Acoustics, Speech and …",22,6603603567818543592,4DMP91E08xMC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/332790607_Analysis_of_Multichannel_Virtual_Sensing_Active_Noise_Control_to_Overcome_Spatial_Correlation_and_Causality_Constraints,NA,NA,NA,NA,ICASSP 2019 - 2019 IEEE Int Conf Acoust Speech Signal Process,0,"Brighton, UK"
2019,Practical Consideration And Implementation for Avoiding Saturation of Large Amplitude Active Noise Control,10.18154/RWTH-CONV-239900,Proceedings Paper,"D Shi, WS Gan, B Lam, S Wen",proceedings of the international congress on acoustics,6905-6912,12,7973839405106958819,7PzlFSSx8tAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proc 23rd Int Congr Acoust,0,"Aachen, Germany"
2019,Evaluation of Preferred Levels of Natural Sounds In-Situ Environment Through an Augmented Reality Device,10.18154/RWTH-CONV-239578,Proceedings Paper,"B Lam, J Hong, ZT Ong, K Ooi, WS Gan, S Jeong, I Lee, TT Tan",universitätsbibliothek der rwth aachen,,3,10361152831945349096,isC4tDSrTZIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proc 23rd Int Congr Acoust,1,"Aachen, Germany"
2019,Influence of Parametrically-Decoded First-Order Ambisonics Reproduction in Cinematic Virtual-Reality-Based Soundscape Evaluation,NA,Proceedings Paper,"B Lam, JY Hong, ZT Ong, WS Gan, J Kang, J Feng, ST Tan",inter-noise and noise-con congress and conference proceedings,"259 (2), 7592-7603",2,18218890730767289958,QIV2ME_5wuYC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2019/00000259/00000002/art00068,https://www.researchgate.net/publication/333984865_Influence_of_Parametrically-decoded_First-order_Ambisonics_Reproduction_in_Cinematic_Virtual-Reality-based_Soundscape_Evaluation,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise19",1,"Madrid, Spain"
2020,Effect of Spatial Separation Between Traffic Noise And Water Sound on Soundscape Assessment,NA,Proceedings Paper,"JY Hong, B Lam, ZT Ong, WS Gan, J Fen, ST Tan",inter-noise and noise-con congress and conference proceedings,"259 (4), 5250-5255",2,15662165086579544749,mVmsd5A6BfQC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2019/00000259/00000004/art00028,https://www.researchgate.net/publication/334963168_Effect_of_spatial_separation_between_traffic_noise_and_water_sound_on_soundscape_assessment,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20",0,"Seoul, South Korea"
2019,Active Control of Noise Through Open Windows,NA,Thesis,B Lam,"ph. d. thesis, school of electrical and electronic engineering, nanyang …",,6,3785425831642185721,4TOpqqG69KYC,NA,NA,NA,NA,NA,NA,https://hdl.handle.net/10356/104824,NA,NA,NA,NA,NA,Thesis,1,
2018,Physical Limits on The Performance of Active Noise Control Through Open Windows,10.1016/j.apacoust.2018.02.024,Article,"B Lam, S Elliott, J Cheer, WS Gan",applied acoustics,"137, 9-17",58,330373141423131658,UeHWp8X0CEIC,3.4,6.4,Acoust,Jul-31,Acoust Ultrason,Jun-41,NA,NA,NA,NA,NA,NA,Appl Acoust,1,
2018,Active Control of Sound Through Full-Sized Open Windows,10.1016/j.buildenv.2018.05.042,Article,"B Lam, C Shi, D Shi, WS Gan",building and environment,"141, 16-27",79,6367890920232721627,ULOm3_A8WrAC,7.4,11.3,Civ Eng,6/139,Civ Struct Eng,17/350,NA,NA,NA,NA,NA,NA,Build Environ,1,
2018,A Wavenumber Approach to Analysing the Active Control of Plane Waves with Arrays of Secondary Sources,10.1016/j.jsv.2018.01.028,Article,"SJ Elliott, J Cheer, B Lam, C Shi, WS Gan",journal of sound and vibration,,49,9889863456209022299,ufrVoPGSRksC,4.7,8.6,Acoust,Apr-31,Acoust Ultrason,Mar-41,https://hdl.handle.net/10356/86078,https://www.researchgate.net/publication/322628127_A_wavenumber_approach_to_analysing_the_active_control_of_plane_waves_with_arrays_of_secondary_sources,NA,NA,NA,NA,J Sound Vib,0,
2018,A Novel Selective Active Noise Control Algorithm to Overcome Practical Implementation Issue,10.1109/ICASSP.2018.8461458,Proceedings Paper,"DY Shi, B Lam, WS Gan",,"2018 IEEE International Conference on Acoustics, Speech and Signal …",38,8615147981484414342,IWHjjKOFINEC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/327815031_A_Novel_Selective_Active_Noise_Control_Algorithm_to_Overcome_Practical_Implementation_Issue,NA,NA,NA,NA,ICASSP 2018 - 2018 IEEE Int Conf Acoust Speech Signal Process,0,"Calgary, Canada"
2018,Reliability of Wrist-Worn Sensors for Measuring Physiological Responses in Soundscape Assessments,NA,Proceedings Paper,"B Lam, JY Hong, ZT Ong, WS Gan",inter-noise and noise-con congress and conference proceedings,"258 (3), 4630-4639",5,3541024189864113012,_kc_bZDykSQC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2018/00000258/00000003/art00065,https://www.researchgate.net/publication/329673107_Reliability_of_wrist-worn_sensors_for_measuring_physiological_responses_in_soundscape_assessments,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise18",1,"Chicago, IL, USA"
2018,Hybrid Source Arrangement for Active Control of Noise Through Apertures At Oblique Incidences: A Preliminary Investigation,NA,Proceedings Paper,"B Lam, W Gan, D Shi, S Elliott",proc.,"25th Int. Congr. Sound Vib. ICSV25, Hiroshima, Japan, 1-8",2,6077919517475313639,aqlVkmm33-oC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/329610847_Hybrid_source_arrangement_for_active_control_of_noise_through_apertures_at_oblique_incidences_a_preliminary_investigation,NA,NA,NA,NA,"Proc 25th Int Congr Sound Vib, ICSV25",1,"Hiroshima, Japan"
2018,Selecting Birdsongs for Auditory Masking: A Clustering Approach Based on Psychoacoustic Parameters,NA,Proceedings Paper,"ZT Ong, B Lam, JY Hong, K Ooi, WS Gan",,"25th Int. Congr. Sound Vib. ICSV25, Hiroshima, Japan, 1-8",1,6491491997140910402,EUQCXRtRnyEC,NA,NA,NA,NA,NA,NA,https://dr.ntu.edu.sg/handle/10356/170483,NA,NA,NA,NA,NA,"Proc 25th Int Congr Sound Vib, ICSV25",0,"Hiroshima, Japan"
2017,Spatial Audio for Soundscape Design: Recording And Reproduction,10.3390/app7060627,Article,"JY Hong, J He, B Lam, R Gupta, WS Gan",applied sciences,"7 (6), 627",116,9336602174857950052,WF5omc3nYNoC,2.7,2.5,Multidiscip Eng,42/90,Gen Eng,73/302,NA,NA,NA,NA,NA,NA,Appl Sci-Basel,0,
2017,Understanding Multiple-Input Multiple-Output Active Noise Control From a Perspective of Sampling And Reconstruction,10.1109/APSIPA.2017.8282013,Proceedings Paper,"C Shi, H Li, D Shi, B Lam, WS Gan",asia-pacific signal and information processing association annual summit and …,,19,14326597256663743300,UebtZRa9Y70C,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/323195520_Understanding_multiple-input_multiple-output_active_noise_control_from_a_perspective_of_sampling_and_reconstruction,NA,NA,NA,NA,2017 Asia-Pacific Signal Inf Process Assoc Annu Summit Conf (APSIPA ASC),0,"Kuala Lumpur, Malaysia"
2017,Active Noise Control Systems for Open Windows: Current Updates And Future Perspectives,NA,Proceedings Paper,"B Lam, C Shi, WS Gan",proceedings of the,"24th International Congress on Sound and Vibration, 1-7",23,7978457253435160400,YsMSGLbcyi4C,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/318851167_Active_noise_control_systems_for_open_windows_Current_updates_and_future_perspectives,NA,NA,NA,NA,Proc 24th Int Congr Sound Vib,1,"London, UK"
2017,Suitability of Natural Sounds to Enhance Soundscape Quality in Urban Residential Areas,NA,Proceedings Paper,"JY Hong, B Lam, ZT Ong, R Gupta, WS Gan",,,21,16595743115877538580,0EnyYjriUFMC,NA,NA,NA,NA,NA,NA,https://hdl.handle.net/10356/83014,https://www.researchgate.net/publication/318850984_SUITABILITY_OF_NATURAL_SOUNDS_TO_ENHANCE_SOUNDSCAPE_QUALITY_IN_URBAN_RESIDENTIAL_AREAS,NA,NA,NA,NA,Proc 24th Int Congr Sound Vib,0,"London, UK"
2017,Controlling Incident Sound Fields with Source Arrays in Free Space And Through Apertures,NA,Proceedings Paper,"S Elliott, J Cheer, B Lam, C Shi, WS Gan",proceedings of the,"24th International Congress on Sound and Vibration, 1-7",11,6429190279712637460,W7OEmFMy1HYC,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/318851172_Controlling_incident_sound_fields_with_source_arrays_in_free_space_and_through_apertures,NA,NA,NA,NA,NA,Proc 24th Int Congr Sound Vib,0,"London, UK"
2017,Appropriate Levels of Natural Sounds to Enhance Soundscapes in Urban Areas,NA,Proceedings Paper,"JY Hong, B Lam, ZT Ong, R Gupta, WS Gan, SH Chong, J Feng",inter-noise and noise-con congress and conference proceedings,"255 (3), 4779-4783",9,13885433811233946033,Se3iqnhoufwC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2017/00000255/00000003/art00091,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise17",0,"Hong Kong SAR, China"
2017,Effect of Masker Orientation on Masking Efficacy in Soundscape Applications,NA,Proceedings Paper,"ZT Ong, JY Hong, B Lam, R Gupta, WS Gan, SH Chong, J Feng, K Ooi",inter-noise and noise-con congress and conference proceedings,"255 (3), 4916-4922",9,2560106699051826098,IjCSPb-OGe4C,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2017/00000255/00000003/art00108,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise17",0,"Hong Kong SAR, China"
2017,3d Audio Ar/Vr Capture And Reproduction Setup for Auralization of Soundscapes,NA,Proceedings Paper,"R Gupta, B Lam, J Hong, ZT Ong, WS Gan, SH Chong, J Feng",proceedings of the,"24th Intl. Congress on Sound and Vibration, ICSV24",9,10377067205650961984,LkGwnXOMwfcC,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/318851185_3D_AUDIO_ARVR_CAPTURE_AND_REPRODUCTION_SETUP_FOR_AURALIZATION_OF_SOUNDSCAPES,NA,NA,NA,NA,NA,Proc 24th Int Congr Sound Vib,0,"London, UK"
2017,Validation of Binaural Recordings with Head Tracking for Use in Soundscape Evaluation,NA,Proceedings Paper,"K Ooi, JY Hong, B Lam, ZT Ong, WS Gan",inter-noise and noise-con congress and conference proceedings,"255 (3), 4651-4659",6,5154965715916541964,Tyk-4Ss8FVUC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/contentone/ince/incecp/2017/00000255/00000003/art00076,https://www.researchgate.net/publication/319435678_Validation_of_binaural_recordings_with_head_tracking_for_use_in_soundscape_evaluation,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise17",0,"Hong Kong SAR, China"
2017,Effects of Acoustic Scattering on The Active Control of Noise Through Apertures,NA,Proceedings Paper,"B Lam, WS Gan",comsol conference,2017 (Singapore),0,NA,qUcmZB5y_30C,NA,NA,NA,NA,NA,NA,https://www.comsol.com/paper/effects-of-acoustic-scattering-on-the-active-control-of-noise-through-apertures-60363,NA,NA,NA,NA,NA,COMSOL Conf ,1,Singapore
2016,Active Acoustic Windows: Towards a Quieter Home,10.1109/MPOT.2014.2310776,Article,"B Lam, WS Gan",ieee potentials,"35 (1), 11-18",46,10231101144680730171,MXK_kJrjxJIC,NA,2,,,Education,718/1469,NA,NA,NA,NA,NA,NA,IEEE Potentials,1,
2016,Selective Active Noise Control System for Open Windows Using Sound Classification,NA,Proceedings Paper,"R Ranjan, T Murao, B Lam, WS Gan",inter-noise and noise-con congress and conference proceedings,"253 (6), 1921-1931",33,17854253824951491777,5nxA0vEk-isC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2016/00000253/00000006/art00007,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise16",0,"Hamburg, Germany"
2016,Open Loop Active Control of Noise Through Open Windows,10.1121/2.0000461,Proceedings Paper,"C Shi, T Murao, D Shi, B Lam, WS Gan",proceedings of meetings on acoustics,29 (1),24,16433170879066964173,hqOjcs7Dif8C,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/310759126_Open_loop_active_control_of_noise_through_open_windows,NA,NA,NA,NA,J Acoust Soc Am,0,"Honolulu, Hawaii, USA"
2016,Feasibility Study on Decentralized Control System for Active Acoustic Shielding,NA,Proceedings Paper,"T Murao, J He, B Lam, R Ranjan, C Shi, WS Gan",inter-noise and noise-con congress and conference proceedings,"253 (7), 1106-1115",20,3744210257448057444,zYLM7Y9cAGgC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2016/00000253/00000007/art00026,https://www.researchgate.net/publication/307607378_Feasibility_study_on_decentralized_control_system_for_active_acoustic_shielding,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise16",0,"Hamburg, Germany"
2016,Feasibility of The Full-Rank Fixed-Filter Approach in The Active Control of Noise Through Open Windows,NA,Proceedings Paper,"B Lam, M Tatsuya, C Shi, WS Gan, S Elliott",inter-noise and noise-con congress and conference proceedings,"253 (5), 3548-3555",14,7073558997406621774,8k81kl-MbHgC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2016/00000253/00000005/art00080,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise16",1,"Hamburg, Germany"
2016,Symmetric Design of Multiple-Channel Active Noise Control Systems for Open Windows,NA,Proceedings Paper,"J He, T Murao, R Ranjan, WS Gan",inter-noise and noise-con congress and conference proceedings,"253 (8), 613-622",4,17288951489365110633,9ZlFYXVOiuMC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2016/00000253/00000008/art00069,https://www.researchgate.net/publication/306379461_Symmetric_Design_of_Multiple-Channel_Active_Noise_Control_Systems_for_Open_Windows,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise16",0,"Hamburg, Germany"
2015,The Physical Limits of Active Noise Control of Open Windows,NA,Proceedings Paper,"B Lam, S Elliott, J Cheer, W Gan",,"12th Western Pacific Acoustics Conference, 184-189",15,8952883253472932961,eQOLeE2rZwMC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/286448252_The_Physical_Limits_of_Active_Noise_Control_of_Open_Windows,NA,NA,NA,NA,Proc 12th West Pacific Acoust Conf,1,Singapore
2015,Comparative Study of Cone-Shaped Versus Flat-Panel Speakers for Active Noise Control of Multi-Tonal Signals in Open Windows,NA,Proceedings Paper,"S Fasciani, J He, B Lam, T Murao, WS Gan",inter-noise and noise-con congress and conference proceedings,"250 (6), 1109-1120",6,9479972995340186635,dhFuZR0502QC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2015/00000250/00000006/art00069,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise15",0,"San Francisco, CA, USA"
2015,Regularisation of The Equivalent Source Method for Robust Numerical Modelling of Acoustic Scattering,NA,Proceedings Paper,"B Lam, SJ Elliott, WS Gan","inter-noise and noise-con congress and conference proceedings, internoise",e15 …,5,11473819409522670759,roLk4NBRz8UC,NA,NA,NA,NA,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2015/00000250/00000006/art00056,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise15",1,"San Francisco, CA, USA"
2014,Feasibility of A Length-Limited Parametric Source for Active Noise Control Applications,NA,Proceedings Paper,"B Lam, WS Gan, C Shi",int. congress on sound and vibration,,16,5521593252915703609,Y0pCki6q_DkC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/309045737_Feasibility_of_a_length-limited_parametric_source_for_active_noise_control_applications,NA,NA,NA,NA,Proc 21st Int Congr Sound Vib,1,"Beijing, China"
