year,title,doi,type,authors,journal,number,total.citations,cid,pubid,ImpactFactor,CiteScore,url,rg,arxiv,psyarxiv,data,code,journalShort,first
2020,Multichannel Active Noise Control Based on Momentum Multichannel Normalized Filtered-X Least Mean Square Algorithm,NA,Proceedings Paper,"D Shi, WS Gan, B Lam, S Wen, X Shen","inter-noise and noise-con congress and conference proceedings, internoise",e20 …,0,NA,iH-uZ7U-co4C,NA,NA,NA,https://www.researchgate.net/publication/346035786_Multichannel_Active_Noise_Control_based_on_Momentum_Multichannel_Normalized_Filtered-x_Least_Mean_Square_Algorithm,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20",0
2018,A Novel Selective Active Noise Control Algorithm to Overcome Practical Implementation Issue,NA,Proceedings Paper,"DY Shi, B Lam, WS Gan",,"2018 IEEE International Conference on Acoustics, Speech and Signal …",25,8.62E+18,IWHjjKOFINEC,NA,NA,NA,https://www.researchgate.net/publication/327815031_A_Novel_Selective_Active_Noise_Control_Algorithm_to_Overcome_Practical_Implementation_Issue,NA,NA,NA,NA,ICASSP 2018 - 2018 IEEE Int Conf Acoust Speech Signal Process,0
2020,Soundscape Assessment: Towards a Validated Translation of Perceptual Attributes in Different Languages,NA,Proceedings Paper,"F Aletta, T Oberman, Ö Axelsson, H Xie, Y Zhang, SK Lau, SK Tang, ...",inter-noise and noise-con congress and conference proceedings,"261 (3), 3137-3146",51,1.58E+19,blknAaTinKkC,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2020/00000261/00000003/art00018,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20",0
2021,Development of A Feedback Interface for In-Situ Soundscape Evaluation,NA,Proceedings Paper,"FA Karnapi, B Lam, T Wong, K Ooi, ZT Ong, WS Gan, J Hong, S Yeong",inter-noise and noise-con congress and conference proceedings,"263 (4), 2253-2258",2,8.63E+18,ns9cj8rnVeAC,NA,NA,NA,https://www.researchgate.net/publication/353581329_Development_of_a_feedback_interface_for_in-situ_soundscape_evaluation,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise21",0
2016,Symmetric Design of Multiple-Channel Active Noise Control Systems for Open Windows,NA,Proceedings Paper,"J He, T Murao, R Ranjan, WS Gan",inter-noise and noise-con congress and conference proceedings,"253 (8), 613-622",3,1.73E+19,9ZlFYXVOiuMC,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2016/00000253/00000008/art00069,https://www.researchgate.net/publication/306379461_Symmetric_Design_of_Multiple-Channel_Active_Noise_Control_Systems_for_Open_Windows,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise16",0
2021,Perceptual Assessment of Operation Noises of Equipment on Construction Sites,NA,Proceedings Paper,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, SC Lee",euronoise,,0,NA,NaGl4SEjCO4C,NA,NA,NA,https://www.researchgate.net/publication/359310096_Perceptual_assessment_of_operation_noises_of_equipment_on_construction_sites,NA,NA,NA,NA,Euronoise 2021,0
2017,Suitability of Natural Sounds to Enhance Soundscape Quality in Urban Residential Areas,NA,Proceedings Paper,"JY Hong, B Lam, ZT Ong, R Gupta, WS Gan, SH Chong, J Feng",proceedings of the,24th international congress on sound and vibration …,16,1.66E+19,0EnyYjriUFMC,NA,NA,NA,https://www.researchgate.net/publication/318850984_SUITABILITY_OF_NATURAL_SOUNDS_TO_ENHANCE_SOUNDSCAPE_QUALITY_IN_URBAN_RESIDENTIAL_AREAS,NA,NA,NA,NA,Proc 24th Int Congr Sound Vib,0
2017,Appropriate Levels of Natural Sounds to Enhance Soundscapes in Urban Areas,NA,Proceedings Paper,"JY Hong, B Lam, ZT Ong, R Gupta, WS Gan, SH Chong, J Feng",inter-noise and noise-con congress and conference proceedings,"255 (3), 4779-4783",9,1.39E+19,Se3iqnhoufwC,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2017/00000255/00000003/art00091,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise17",0
2019,Effect of Spatial Separation Between Traffic Noise And Water Sound on Soundscape Assessment,NA,Proceedings Paper,"JY Hong, B Lam, ZT Ong, WS Gan, J Fen, ST Tan",inter-noise and noise-con congress and conference proceedings,"259 (4), 5250-5255",2,1.57E+19,mVmsd5A6BfQC,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2019/00000259/00000004/art00028,https://www.researchgate.net/publication/334963168_Effect_of_spatial_separation_between_traffic_noise_and_water_sound_on_soundscape_assessment,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20",0
2020,A Deep Learning Approach for Modelling Perceptual Attributes of Soundscapes,NA,Proceedings Paper,"K Ooi, J Hong, B Lam, ZT Ong, WS Gan",inter-noise and noise-con congress and conference proceedings,"261 (3), 3580-3589",2,1.80E+19,j3f4tGmQtD8C,NA,NA,https://www.ingentaconnect.com/contentone/ince/incecp/2020/00000261/00000003/art00064,https://www.researchgate.net/publication/344609366_A_deep_learning_approach_for_modelling_perceptual_attributes_of_soundscapes,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20",0
2017,Validation of Binaural Recordings with Head Tracking for Use in Soundscape Evaluation,NA,Proceedings Paper,"K Ooi, JY Hong, B Lam, ZT Ong, WS Gan",inter-noise and noise-con congress and conference proceedings,"255, 4651-4659",5,"9,246,056,503,988,280,000,000,000,000,000,000,000",Zph67rFs4hoC,NA,NA,https://www.ingentaconnect.com/contentone/ince/incecp/2017/00000255/00000003/art00076,https://www.researchgate.net/publication/319435678_Validation_of_binaural_recordings_with_head_tracking_for_use_in_soundscape_evaluation,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise17",0
2017,Validation of 3d Headphones for Use in Soundscape Evaluation,NA,Proceedings Paper,"K Ooi, JY Hong, B Lam, ZT Ong, WS Gan",inter-noise and noise-con congress and conference proceedings,"255 (3), 4651-4659",1,5.15E+18,Tyk-4Ss8FVUC,NA,NA,NA,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise17",0
2023,Autonomous Soundscape Augmentation with Multimodal Fusion of Visual And Participant-Linked Inputs,10.1109/ICASSP49357.2023.10094866,Proceedings Paper,"K Ooi, KN Watcharasupat, B Lam, ZT Ong, WS Gan",icassp,"2023-2023 IEEE International Conference on Acoustics, Speech and …",2,1.94E+17,rO6llkc54NcC,NA,NA,NA,https://www.researchgate.net/publication/369266154_Autonomous_Soundscape_Augmentation_with_Multimodal_Fusion_of_Visual_and_Participant-linked_Inputs,https://doi.org/10.48550/arXiv.2303.08342,NA,NA,NA,ICASSP 2023 - 2023 IEEE Int Conf Acoust Speech Signal Process,0
2022,Probably Pleasant? a Neural-Probabilistic Approach to Automatic Masker Selection for Urban Soundscape Augmentation,10.1109/ICASSP43922.2022.9746897,Proceedings Paper,"K Ooi, KN Watcharasupat, B Lam, ZT Ong, WS Gan",icassp,"2022-2022 IEEE International Conference on Acoustics, Speech and …",6,1.18E+19,RYcK_YlVTxYC,NA,NA,https://hdl.handle.net/10356/158000,NA,NA,NA,https://doi.org/10.21979/N9/YSJQKD,NA,ICASSP 2022 - 2022 IEEE Int Conf Acoust Speech Signal Process,0
2022,A Benchmark Comparison of Perceptual Models for Soundscapes on A Large-Scale Augmented Soundscape Dataset,NA,Proceedings Paper,"K Ooi, KN Watcharasupat, B Lam, ZT Ong, WS Gan",,,0,NA,zA6iFVUQeVQC,NA,NA,https://hdl.handle.net/10356/164983,NA,NA,NA,NA,NA,Proc 24th Int Congr Acoust,0
2017,3d Audio Ar/Vr Capture And Reproduction Setup for Auralization of Soundscapes,NA,Proceedings Paper,"R Gupta, B Lam, J Hong, ZT Ong, WS Gan, SH Chong, J Feng",proceedings of the,"24th Intl. Congress on Sound and Vibration, ICSV24",9,1.04E+19,LkGwnXOMwfcC,NA,NA,https://www.researchgate.net/publication/318851185_3D_AUDIO_ARVR_CAPTURE_AND_REPRODUCTION_SETUP_FOR_AURALIZATION_OF_SOUNDSCAPES,NA,NA,NA,NA,NA,Proc 24th Int Congr Sound Vib,0
2016,Selective Active Noise Control System for Open Windows Using Sound Classification,NA,Proceedings Paper,"R Ranjan, T Murao, B Lam, WS Gan",inter-noise and noise-con congress and conference proceedings,"253 (6), 1921-1931",26,1.79E+19,5nxA0vEk-isC,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2016/00000253/00000006/art00007,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise16",0
2019,Practical Consideration And Implementation for Avoiding Saturation of Large Amplitude Active Noise Control,NA,Proceedings Paper,"S Dongyuan, WS Gan, B Lam, S Wen",universitätsbibliothek der rwth aachen,,0,NA,BqipwSGYUEgC,NA,NA,NA,NA,NA,NA,NA,NA,Proc 23rd Int Congr Acoust,0
2017,Controlling Incident Sound Fields with Source Arrays in Free Space And Through Apertures,NA,Proceedings Paper,"S Elliott, J Cheer, B Lam, C Shi, WS Gan",proceedings of the,"24th International Congress on Sound and Vibration, 1-7",11,6.43E+18,W7OEmFMy1HYC,NA,NA,https://www.researchgate.net/publication/318851172_Controlling_incident_sound_fields_with_source_arrays_in_free_space_and_through_apertures,NA,NA,NA,NA,NA,Proc 24th Int Congr Sound Vib,0
2015,Comparative Study of Cone-Shaped Versus Flat-Panel Speakers for Active Noise Control of Multi-Tonal Signals in Open Windows,NA,Proceedings Paper,"S Fasciani, J He, B Lam, T Murao, WS Gan",inter-noise and noise-con congress and conference proceedings,"250 (6), 1109-1120",6,9.48E+18,dhFuZR0502QC,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2015/00000250/00000006/art00069,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise15",0
2016,Feasibility Study on Decentralized Control System for Active Acoustic Shielding,NA,Proceedings Paper,"T Murao, J He, B Lam, R Ranjan, C Shi, WS Gan",inter-noise and noise-con congress and conference proceedings,"253 (7), 1106-1115",19,3.74E+18,zYLM7Y9cAGgC,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2016/00000253/00000007/art00026,https://www.researchgate.net/publication/307607378_Feasibility_study_on_decentralized_control_system_for_active_acoustic_shielding,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise16",0
2021,Assessment of Inter-Ic Sound Microelectromechanical Systems Microphones for Soundscape Reporting,NA,Proceedings Paper,"T Wong, B Lam, FA Karnapi, K Ooi, WS Gan",inter-noise and noise-con congress and conference proceedings,"263 (4), 2259-2269",0,NA,GnPB-g6toBAC,NA,NA,NA,https://www.researchgate.net/publication/353581429_Assessment_of_inter-IC_sound_microelectromechanical_systems_microphones_for_soundscape_reporting,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise21",0
2022,Deployment of An Iot System for Adaptive In-Situ Soundscape Augmentation,10.3397/IN_2022_0290,Proceedings Paper,"T Wong, K N Watcharasupat, B Lam, K Ooi, ZT Ong, F Andi Karnapi, ...",inter-noise and noise-con congress and conference proceedings,"265 (5), 2013-2021",3,1.50E+19,vV6vV6tmYwMC,NA,NA,NA,https://www.researchgate.net/publication/360255877_Deployment_of_an_IoT_System_for_Adaptive_In-Situ_Soundscape_Augmentation,https://doi.org/10.48550/arXiv.2204.13890,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise22",0
2022,Do Uhear? Validation of Uhear App for Preliminary Screening of Hearing Ability in Soundscape Studies,NA,Proceedings Paper,"ZT Ong, B Lam, K Ooi, KN Watcharasupat, T Wong, WS Gan",arxiv preprint arxiv:,:2207.09221,0,NA,SeFeTyx0c_EC,NA,NA,NA,https://www.researchgate.net/publication/362121556_Do_uHear_Validation_of_uHear_App_for_Preliminary_Screening_of_Hearing_Ability_in_Soundscape_Studies,https://doi.org/10.48550/arXiv.2207.09221,NA,"https://doi.org/10.21979/N9/JQDI6F,",NA,Proc 24th Int Congr Acoust,0
2017,Effect of Masker Orientation on Masking Efficacy in Soundscape Applications,NA,Proceedings Paper,"ZT Ong, JY Hong, B Lam, R Gupta, WS Gan, SH Chong, J Feng, K Ooi",inter-noise and noise-con congress and conference proceedings,"255 (3), 4916-4922",7,2.56E+18,IjCSPb-OGe4C,NA,NA,https://www.ingentaconnect.com/content/ince/incecp/2017/00000255/00000003/art00108,NA,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise17",0
2019,Active Control of Noise Through Open Windows,10.32657/10220/48090,Thesis,B Lam,"ph. d. thesis, school of electrical and electronic engineering, nanyang …",,6,3.79E+18,4TOpqqG69KYC,NA,NA,https://hdl.handle.net/10356/104824,NA,NA,NA,NA,NA,NA,1
