year,title,doi,type,authors,journal,number,total.citations,cid,pubid,ImpactFactor,CiteScore,url,rg,arxiv,psyarxiv,data,code,journalShort,first
2020,Feedforward Multichannel Virtual-Sensing Active Control of Noise Through an Aperture: Analysis on Causality And Sensor-Actuator Constraints,10.1121/10.0000515,Article,"D Shi, WS Gan, B Lam, R Hasegawa, Y Kajikawa",the journal of the acoustical society of america,"147 (1), 32-48",26,1.80E+19,#NAME?,2.4,4.4,NA,NA,NA,NA,NA,NA,J Acoust Soc Am,0
2020,Feedforward Selective Fixed-Filter Active Noise Control: Algorithm And Implementation,10.1109/TASLP.2020.2989582,Article,"D Shi, WS Gan, B Lam, S Wen","ieee/acm transactions on audio, speech, and language processing","28, 1479-1492",48,4.11E+18,TQgYirikUcIC,5.4,10.1,NA,NA,NA,NA,NA,NA,IEEE T Acoust Speech,0
2021,Optimal Output-Constrained Active Noise Control Based on Inverse Adaptive Modeling Leak Factor Estimate,10.1109/TASLP.2021.3065730,Article,"D Shi, WS Gan, B Lam, S Wen, X Shen","ieee/acm transactions on audio, speech, and language processing","29, 1256-1269",24,2.11E+18,M3NEmzRMIkIC,5.4,10.1,NA,NA,NA,NA,NA,NA,IEEE T Acoust Speech,0
2023,A Frequency-Domain Output-Constrained Active Noise Control Algorithm Based on An Intuitive Circulant Convolutional Penalty Factor,10.1109/TASLP.2023.3260702,Article,"D Shi, WS Gan, B Lam, X Shen","ieee/acm transactions on audio, speech, and language processing","31, 1318-1332",1,1.67E+18,4OULZ7Gr8RgC,5.4,10.1,NA,https://www.researchgate.net/publication/369725736_A_Frequency-Domain_Output-Constrained_Active_Noise_Control_Algorithm_Based_on_an_Intuitive_Circulant_Convolutional_Penalty_Factor,NA,NA,NA,NA,IEEE T Acoust Speech,0
2021,Comb-Partitioned Frequency-Domain Constraint Adaptive Algorithm for Active Noise Control,10.1016/j.sigpro.2021.108222,Article,"D Shi, WS Gan, B Lam, X Shen",signal processing,"188, 108222",14,8.69E+17,NMxIlDl6LWMC,4.4,9.1,NA,NA,NA,NA,NA,NA,Signal Process,0
2021,Optimal Penalty Factor for The Mov-Fxlms Algorithm in Active Noise Control System,10.1109/LSP.2021.3126198,Article,"D Shi, WS Gan, B Lam, X Shen",ieee signal processing letters,"29, 85-89",5,4.68E+18,RGFaLdJalmkC,3.9,6.2,NA,NA,NA,NA,NA,NA,IEEE Signal Proc Lett,0
2023,Transferable Latent of CNN-Based Selective Fixed-Filter Active Noise Control,10.1109/TASLP.2023.3261757,Article,"D Shi, WS Gan, B Lam, Z Luo, X Shen","ieee/acm transactions on audio, speech, and language processing",,4,8.24E+17,fPk4N6BV_jEC,5.4,10.1,NA,https://www.researchgate.net/publication/371225782_Transferable_Latent_of_CNN-based_Selective_Fixed-filter_Active_Noise_Control,NA,NA,NA,NA,IEEE T Acoust Speech,0
2019,Practical Implementation of Multichannel Filtered-X Least Mean Square Algorithm Based on The Multiple-Parallel-Branch with Folding Architecture for Large-Scale Active Noise Control,10.1109/TVLSI.2019.2956524,Article,"D Shi, WS Gan, J He, B Lam",ieee transactions on very large scale integration (vlsi) systems,"28 (4), 940-953",39,4.57E+18,hC7cP41nSMkC,2.8,6.9,NA,https://www.researchgate.net/publication/338056961_Practical_Implementation_of_Multichannel_Filtered-x_Least_Mean_Square_Algorithm_Based_on_the_Multiple-Parallel-Branch_With_Folding_Architecture_for_Large-Scale_Active_Noise_Control,NA,NA,NA,NA,IEEE T VLSI Syst,0
2019,Two-Gradient Direction Fxlms: An Adaptive Active Noise Control Algorithm with Output Constraint,10.1016/j.ymssp.2018.06.062,Article,"DY Shi, WS Gan, B Lam, C Shi",mechanical systems and signal processing,"116, 651-667",42,1.59E+19,Wp0gIr-vW9MC,8.4,15.2,https://hdl.handle.net/10356/107561,https://www.researchgate.net/publication/326588022_Two-gradient_direction_FXLMS_An_adaptive_active_noise_control_algorithm_with_output_constraint?_sg%5B0%5D=xlPp3kOSRODpRvQ3ShyaGF_o4q8ARXhReNs_E2jBZ5Wxos4iWdH8FCqWZO20yTF4zBzmZG_jxZjklhhgXvrTYUCXUYEOShi6ZMFdFWB_.z6RL0AWuVe-8MPgozgW3UNis00_VFfgZ0Dud5nY_J6aoXkfnm2vxEG-OmjxPmPQ6H9GTRXjvY0EBqnXN62i84g,NA,NA,NA,NA,Mech Syst Signal Pr,0
2019,Exploiting the Underdetermined System in Multichannel Active Noise Control for Open Windows,10.3390/app9030390,Article,"J He, B Lam, D Shi, WS Gan",applied sciences,"9 (3), 390",13,5.24E+18,qxL8FJ1GzNcC,2.7,2.5,NA,NA,NA,NA,NA,NA,Appl Sci-Basel,0
