year,title,doi,url,rg,arxiv,type,authors,journal,number,total.citations,publication.date,cid,pubid,journalShort,Country,ImpactFactor,CiteScore,first
2020,"Quality Assessment of Acoustic Environment Reproduction Methods for Cinematic Virtual Reality in Soundscape Applications (Vol 149, Pg 1, 2019)",10.1016/j.buildenv.2020.106830,NA,NA,NA,Correction,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, J Feng, ST Tan",building and environment,176,0,2020,NA,e5wmG9Sq2KIC,Build Environ,NA,7.093,10.7,0
2020,Effects of Adding Natural Sounds to Urban Noises on The Perceived Loudness of Noise And Soundscape Quality,10.1016/j.scitotenv.2019.134571,NA,NA,NA,Article,"JY Hong, ZT Ong, B Lam, K Ooi, WS Gan, J Kang, J Feng, ST Tan",science of the total environment,"711, 134571",61,2020,1.14E+19,ZeXyd9-uunAC,Sci Total Environ,NA,10.754,14.1,0
2020,The Effects of Spatial Separations Between Water Sound And Traffic Noise Sources on Soundscape Assessment,10.1016/j.buildenv.2019.106423,NA,NA,NA,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, S Yeong, I Lee, ST Tan",building and environment,"167, 106423",21,2020,5.66E+18,L8Ckcad2t8MC,Build Environ,NA,7.093,10.7,0
2020,Multichannel Active Noise Control with Spatial Derivative Constraints to Enlarge the Quiet Zone,10.1109/ICASSP40776.2020.9053978,NA,NA,NA,Proceedings Paper,"D Shi, B Lam, S Wen, WS Gan","icassp 2020-2020 IEEE International Conference on Acoustics, Speech and",_8419-8423,9,2020,3.91E+18,HDshCWvjkbEC,ICASSP 2020 - 2020 IEEE Int Conf. Acoust Speech Signal Process,"Barcelona, Spain",NA,6.3,0
2020,Feedforward Selective Fixed-Filter Active Noise Control: Algorithm And Implementation,10.1109/TASLP.2020.2989582,NA,NA,NA,Article,"D Shi, WS Gan, B Lam, S Wen","ieee/acm transactions on audio, speech, and language processing","28, 1479-1492",41,2020,4.11E+18,TQgYirikUcIC,IEEE T Acoust Speech,NA,4.346,9.4,0
2020,Feedforward Multichannel Virtual-Sensing Active Control of Noise Through an Aperture: Analysis on Causality And Sensor-Actuator Constraints,10.1121/10.0000515,NA,NA,NA,Article,"D Shi, WS Gan, B Lam, R Hasegawa, Y Kajikawa",the journal of the acoustical society of america,"147 (1), 32-48",25,2020,1.80E+19,#NAME?,J Acoust Soc Am,NA,2.482,3.7,0
2019,Optimal Leak Factor Selection for The Output-Constrained Leaky Filtered-Input Least Mean Square Algorithm,10.1109/LSP.2019.2903908,NA,NA,NA,Article,"D Shi, B Lam, WS Gan, S Wen",ieee signal processing letters,"26 (5), 670-674",12,2019,4.59E+18,M3ejUd6NZC8C,IEEE Signal Proc Let,NA,3.201,6.6,0
2019,Exploiting the Underdetermined System in Multichannel Active Noise Control for Open Windows,10.3390/app9030390,NA,NA,NA,Article,"J He, B Lam, D Shi, WS Gan",applied sciences,"9 (3), 390",12,2019,5.24E+18,qxL8FJ1GzNcC,Appl Sci-Basel,NA,2.838,3.7,0
2019,Quality Assessment of Acoustic Environment Reproduction Methods for Cinematic Virtual Reality in Soundscape Applications,10.1016/j.buildenv.2018.12.004,NA,NA,NA,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, J Feng, ST Tan",building and environment,"149, 1-14",94,2019,2.62E+18,YOwf2qJgpHMC,Build Environ,NA,7.093,10.7,0
2019,Two-Gradient Direction Fxlms: An Adaptive Active Noise Control Algorithm with Output Constraint,10.1016/j.ymssp.2018.06.062,NA,NA,NA,Article,"DY Shi, WS Gan, B Lam, C Shi",mechanical systems and signal processing,"116, 651-667",38,2019,1.59E+19,Wp0gIr-vW9MC,Mech Syst Signal Pr,NA,8.934,15.1,0
