year,title,doi,url,rg,arxiv,type,authors,journal,number,total.citations,publication.date,cid,pubid,journalShort,Country,ImpactFactor,CiteScore,first
2023,Transferable Latent of Cnn-Based Selective Fixed-Filter Active Noise Control,10.1109/TASLP.2023.3261757,NA,https://www.researchgate.net/publication/371225782_Transferable_Latent_of_CNN-based_Selective_Fixed-filter_Active_Noise_Control?_iepl%5BgeneralViewId%5D=ATO4W0Ce18MbhMMhSMoiFzjWzgjxpbTRtwAa&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=dBqIQIPElARZ3mltHs9c3hHfTi3TSlqfa1Dm&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountLessEqual20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition1%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=1&_iepl%5BrgKey%5D=PB%3A371225782&_iepl%5BtargetEntityId%5D=PB%3A371225782&_iepl%5BinteractionType%5D=publicationTitle,NA,Article,"D Shi, WS Gan, B Lam, Z Luo, X Shen","ieee/acm transactions on audio, speech, and language processing",,1,2023,8.24E+17,fPk4N6BV_jEC,IEEE T Acoust Speech,NA,4.346,9.4,0
2022,Singapore Soundscape Site Selection Survey (S5): Identification of Characteristic Soundscapes of Singapore Via Weighted K-Means Clustering,10.3390/su14127485,NA,NA,NA,Article,"K Ooi, B Lam, JY Hong, KN Watcharasupat, ZT Ong, WS Gan",sustainability,"14 (12), 7485",1,2022,1.72E+19,M05iB0D1s5AC,Sustainability-Basel,NA,3.889,5,0
2020,"Virtual, Augmented And Mixed Reality Tools in Soundscape Evaluation And Design",NA,_https://www.ingentaconnect.com/contentone/ince/incecp/2020/00000261/00000003/art00027,https://www.researchgate.net/publication/343150785_Virtual_augmented_and_mixed_reality_tools_in_soundscape_evaluation_and_design,NA,Proceedings Paper,"B Lam, YX Tan, J Heng, JY Hong, ZT Ong, WS Gan","inter-noise and noise-con congress and conference proceedings, internoise",_3215-3226,1,2020,7.83E+18,_Qo2XoVZTnwC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20","_Seoul, South Korea",NA,NA,1
2019,Effect of Spatial Separation Between Traffic Noise And Water Sound on Soundscape Assessment,NA,_https://www.ingentaconnect.com/content/ince/incecp/2019/00000259/00000004/art00028,https://www.researchgate.net/publication/334963168_Effect_of_spatial_separation_between_traffic_noise_and_water_sound_on_soundscape_assessment,NA,Proceedings Paper,"JY Hong, B Lam, ZT Ong, WS Gan, J Fen, ST Tan",inter-noise and noise-con congress and conference proceedings,"259 (4), 5250-5255",1,2019,1.57E+19,mVmsd5A6BfQC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20","_Seoul, South Korea",NA,NA,0
2018,Hybrid Source Arrangement for Active Control of Noise Through Apertures At Oblique Incidences: A Preliminary Investigation,NA,NA,https://www.researchgate.net/publication/329610847_Hybrid_source_arrangement_for_active_control_of_noise_through_apertures_at_oblique_incidences_a_preliminary_investigation,NA,Proceedings Paper,"B Lam, W Gan, D Shi, S Elliott","proc. 25th Int. Congr. Sound Vib. ICSV25, Hiroshima, Japan, 1-8",08-Jan,1,2018,6.08E+18,aqlVkmm33-oC,"Proc 25th Int Congr Sound Vib, ICSV25","Hiroshima, Japan",NA,NA,1
2023,Computation-Efficient Solution for Fully-Connected Active Noise Control Window: Analysis And Implementation of Multichannel Adjoint Least Mean Square Algorithm,10.1016/j.ymssp.2023.110444,NA,NA,NA,Article,"D Shi, B Lam, J Ji, X Shen, CK Lai, WS Gan",mechanical systems and signal processing,"199, 110444",0,2023,NA,dfsIfKJdRG4C,Mech Syst Signal Pr,NA,8.934,15.1,0
2023,Real-Time Modelling of Observation Filter in The Remote Microphone Technique for An Active Noise Control Application,10.1109/ICASSP49357.2023.10095752,NA,https://www.researchgate.net/publication/369449718_Real-time_modelling_of_observation_filter_in_the_Remote_Microphone_Technique_for_an_Active_Noise_Control_application,https://doi.org/10.48550/arXiv.2303.12517,Proceedings Paper,"CK Lai, B Lam, D Shi, WS Gan",icassp,05-Jan,0,2023,NA,u_35RYKgDlwC,ICASSP 2023 - 2023 IEEE Int Conf Acoust Speech Signal Process,"Rhodes, Greece",NA,NA,0
2023,Autonomous Soundscape Augmentation with Multimodal Fusion of Visual And Participant-Linked Inputs,10.1109/ICASSP49357.2023.10094866,NA,https://www.researchgate.net/publication/369266154_Autonomous_Soundscape_Augmentation_with_Multimodal_Fusion_of_Visual_and_Participant-linked_Inputs,https://doi.org/10.48550/arXiv.2303.08342,Proceedings Paper,"K Ooi, KN Watcharasupat, B Lam, ZT Ong, WS Gan",icassp,"2023-2023 IEEE International Conference on Acoustics, Speech and …",0,2023,NA,rO6llkc54NcC,ICASSP 2023 - 2023 IEEE Int Conf Acoust Speech Signal Process,"Rhodes, Greece",NA,NA,0
2022,Do Uhear? Validation of Uhear App for Preliminary Screening of Hearing Ability in Soundscape Studies,NA,NA,https://www.researchgate.net/publication/362121556_Do_uHear_Validation_of_uHear_App_for_Preliminary_Screening_of_Hearing_Ability_in_Soundscape_Studies,https://doi.org/10.48550/arXiv.2207.09221,Proceedings Paper,"ZT Ong, B Lam, K Ooi, KN Watcharasupat, T Wong, WS Gan",arxiv preprint arxiv:,07-Jan,0,2022,NA,SeFeTyx0c_EC,Proc 24th Int Congr Acoust,"_Gyeongju, South Korea",NA,NA,0
2022,Preliminary Assessment of A Cost-Effective Headphone Calibration Procedure for Soundscape Evaluations,NA,NA,https://www.researchgate.net/publication/369231680_Preliminary_assessment_of_a_cost-effective_headphone_calibration_procedure_for_soundscape_evaluations,https://doi.org/10.48550/arXiv.2205.04728,Proceedings Paper,"B Lam, K Ooi, KN Watcharasupat, ZT Ong, YT Lau, T Wong, WS Gan",arxiv preprint arxiv:,08-Jan,0,2022,NA,70eg2SAEIzsC,"Proc 28th Int Congr Sound Vib, ICSV28",Singapore,NA,NA,1
2022,A Benchmark Comparison of Perceptual Models for Soundscapes on A Large-Scale Augmented Soundscape Dataset,NA,https://hdl.handle.net/10356/164983,NA,NA,Proceedings Paper,"K Ooi, KN Watcharasupat, B Lam, ZT Ong, WS Gan",,,0,2022,NA,zA6iFVUQeVQC,Proc 24th Int Congr Acoust,"_Gyeongju, South Korea",NA,NA,0
2021,Assessment of Inter-Ic Sound Microelectromechanical Systems Microphones for Soundscape Reporting,10.3397/IN-2021-2086,NA,https://www.researchgate.net/publication/353581429_Assessment_of_inter-IC_sound_microelectromechanical_systems_microphones_for_soundscape_reporting,NA,Proceedings Paper,"T Wong, B Lam, FA Karnapi, K Ooi, WS Gan",inter-noise and noise-con congress and conference proceedings,"263 (4), 2259-2269",0,2021,NA,GnPB-g6toBAC,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise21","Washington, DC, USA",NA,NA,0
2021,Perceptual Assessment of Operation Noises of Equipment on Construction Sites,NA,NA,https://www.researchgate.net/publication/359310096_Perceptual_assessment_of_operation_noises_of_equipment_on_construction_sites,NA,Proceedings Paper,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, SC Lee",euronoise,,0,2021,NA,NaGl4SEjCO4C,Euronoise 2021,"Madeira, Portugal",NA,NA,0
2020,Multichannel Active Noise Control Based on Momentum Multichannel Normalized Filtered-X Least Mean Square Algorithm,NA,NA,https://www.researchgate.net/publication/346035786_Multichannel_Active_Noise_Control_based_on_Momentum_Multichannel_Normalized_Filtered-x_Least_Mean_Square_Algorithm,NA,Proceedings Paper,"D Shi, WS Gan, B Lam, S Wen, X Shen","inter-noise and noise-con congress and conference proceedings, internoise",e20 …,0,2020,NA,iH-uZ7U-co4C,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise20","_Seoul, South Korea",NA,NA,0
2017,Effects of Acoustic Scattering on The Active Control of Noise Through Apertures,NA,https://www.comsol.com/paper/effects-of-acoustic-scattering-on-the-active-control-of-noise-through-apertures-60363,NA,NA,Proceedings Paper,"B Lam, WS Gan",comsol conference,2017 (Singapore),0,2017,NA,qUcmZB5y_30C,COMSOL Conf ,Singapore,NA,NA,1
